output_id,link,output_name,project,type,metric_type,count,retrieved_date,status
o088,https://doi.org/10.5281/zenodo.17315341,"Everything, All at Once, Yesterday: Creating Research Software with Humanities Faculty",Digital Humanities Processes and Practices,Presentation / Poster,Views,144,2026-08-20,ok
o088,https://doi.org/10.5281/zenodo.17315341,"Everything, All at Once, Yesterday: Creating Research Software with Humanities Faculty",Digital Humanities Processes and Practices,Presentation / Poster,Downloads,530,2026-08-20,ok
o090,https://doi.org/10.5281/zenodo.21891370,CDH Project Management Tools and Templates,Digital Humanities Processes and Practices,,Views,8,2026-08-20,ok
o090,https://doi.org/10.5281/zenodo.21891370,CDH Project Management Tools and Templates,Digital Humanities Processes and Practices,,Downloads,2,2026-08-20,ok
o063,https://doi.org/10.5281/zenodo.6909568,"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset","Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project",Dataset,Views,974,2026-08-20,ok
o063,https://doi.org/10.5281/zenodo.6909568,"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset","Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project",Dataset,Downloads,2023,2026-08-20,ok
o064,https://doi.org/10.5281/zenodo.3359177,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project",Grey Literature,Views,1585,2026-08-20,ok
o064,https://doi.org/10.5281/zenodo.3359177,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project",Grey Literature,Downloads,995,2026-08-20,ok
o029,https://zenodo.org/records/17344496,HTR2HPC Project Charter,Princeton Open HTR Initiative,Grey Literature,Views,72,2026-08-20,ok
o029,https://zenodo.org/records/17344496,HTR2HPC Project Charter,Princeton Open HTR Initiative,Grey Literature,Downloads,50,2026-08-20,ok
o033,https://doi.org/10.5281/zenodo.17245594,Integrating ATR Software with University HPC Infrastructure: balancing diverse compute needs,Princeton Open HTR Initiative,Publication,Views,183,2026-08-20,ok
