ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Count,Metric Type,DOI Provider,Retrieved Date,Status
87,Data Beyond Vision,Internal Projects / PM and Process,Publication,https://doi.org/10.5281/zenodo.3713670,,,1105,Downloads,Zenodo,2026-08-11,ok
38,The World of Shakespeare and Company: An Introduction,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116905,,,,Views,CulturalAnalytics,2026-08-11,manual
39,"""Missing Data, Speculative Reading""",🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116926,,,,Views,CulturalAnalytics,2026-08-11,manual
42,A Counterfactual Canon,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116915,,,,Views,CulturalAnalytics,2026-08-11,manual
56,Data Beyond Vision,Internal Projects / PM and Process,Publication,https://doi.org/10.5281/zenodo.3713670,,,696,Views,Zenodo,2026-08-11,ok
54,Data Beyond Vision,Internal Projects / PM and Process,Publication,https://doi.org/10.5281/zenodo.3713670,,,696,Views,Zenodo,2026-08-11,ok
74,Shakespeare and Company Project Data Sets,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.32551,,,,Downloads,CulturalAnalytics,2026-08-11,manual
46,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,https://doi.org/10.1162/comj_a_00518,,,,Downloads,MITPress,2026-08-11,manual
65,Elizabeth Barrett Browning's Pathways through the PPA,🌐Princeton Prosody Archive,Publication,http://doi.org/10.5281/zenodo.8292322,,,199,Downloads,Zenodo,2026-08-11,ok
47,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,https://doi.org/10.1162/comj_a_00519,,,,Downloads,MITPress,2026-08-11,manual
29,Coventry Patmore and the Problem of Excerpts,🌐Princeton Prosody Archive,Publication,https://doi.org/10.5281/zenodo.8292370,,,126,Views,Zenodo,2026-08-11,ok
66,Coventry Patmore and the Problem of Excerpts,🌐Princeton Prosody Archive,Publication,https://doi.org/10.5281/zenodo.8292370,,,124,Downloads,Zenodo,2026-08-11,ok
28,Elizabeth Barrett Browning's Pathways through the PPA,🌐Princeton Prosody Archive,Publication,http://doi.org/10.5281/zenodo.8292322,,,107,Views,Zenodo,2026-08-11,ok
73,"""Missing Data, Speculative Reading""",🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116926,,,,Downloads,CulturalAnalytics,2026-08-11,manual
72,The World of Shakespeare and Company: An Introduction,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116905,,,,Downloads,CulturalAnalytics,2026-08-11,manual
