ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Count,Metric Type,DOI Provider
80,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,https://doi.org/10.1162/comj_a_00519,,,,Citation Count,MITPress
41,Shakespeare and Company Project,🌐Shakespeare and Company,Publication,https://doi.org/10.21428/51bee781.13f8c789,,,,Citation Count,PubPub
31,mep-django,🌐Shakespeare and Company,Software Release,https://doi.org/10.5281/zenodo.3834178,,,,Views,Zenodo
22,ppa-django,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.2400704,,,,Views,Zenodo
44,bitKlavier,bitKlavier,Software Release,https://doi.org/10.5281/zenodo.3667650,,,,Views,Zenodo
6,geniza,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.7347726,,,,Views,Zenodo
12,annotorious-tahqiq,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.14888965,,,,Views,Zenodo
60,undate,R&D,Software Release,https://doi.org/10.5281/zenodo.11068867,,,,Views,Zenodo
68,mep-django,🌐Shakespeare and Company,Software Release,https://doi.org/10.5281/zenodo.3834178,,,,Downloads,Zenodo
48,djiffy,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.15587021,,,,Views,Zenodo
13,annotorious-tahqiq,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.14888965,,,,Downloads,Zenodo
23,ppa-django,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.2400704,,,,Downloads,Zenodo
77,bitKlavier,bitKlavier,Software Release,https://doi.org/10.5281/zenodo.3667650,,,,Downloads,Zenodo
7,geniza,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.7347726,,,,Downloads,Zenodo
51,piffle,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13256210,,,,Views,Zenodo
92,undate,R&D,Software Release,https://doi.org/10.5281/zenodo.11068867,,,,Downloads,Zenodo
53,django-pucas,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13905619,,,,Views,Zenodo
81,djiffy,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.15587021,,,,Downloads,Zenodo
18,corppa,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.15312547,,,,Views,Zenodo
19,corppa,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.15312547,,,,Downloads,Zenodo
84,piffle,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13256210,,,,Downloads,Zenodo
86,django-pucas,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13905619,,,,Downloads,Zenodo
107,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,,Views,DataCommons
1,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,,Views,DataCommons
2,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,,Downloads,DataCommons
108,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,,Downloads,DataCommons
