ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Count,Metric Type
7,geniza,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.7347726,,,,Downloads
51,piffle,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13256210,,,,Views
92,undate,R&D,Software Release,https://doi.org/10.5281/zenodo.11068867,,,,Downloads
53,django-pucas,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13905619,,,,Views
81,djiffy,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.15587021,,,,Downloads
18,corppa,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.15312547,,,,Views
19,corppa,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.15312547,,,,Downloads
84,piffle,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13256210,,,,Downloads
86,django-pucas,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.13905619,,,,Downloads
107,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,,Views
1,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,,Views
2,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,,Downloads
108,Derrida's Margins web archive,🌐Derrida’s Margins,WebArchive,https://doi.org/10.34770/yw3y-ze12,,,,Downloads
