Task,Status,Assignee,Output Type,Link,Daily time required,Start,Deadline,Completed,Project,Project Status (from Project),Type,Availability,Predecessors,Additional Versions,DOI,DOI Service,Range,Photo (from Assignee),Is Overdue,Is Complete,Description,Order,Access_Metrics,Access_Metrics 2
The World of Shakespeare and Company: An Introduction,Done,"Rebecca Koeser,Joshua Kotin",,https://doi.org/10.22148/001c.116905,,,,5/29/2024,🌐Shakespeare and Company,Active Legacy Project,Publication,,,,10.22148/001c.116905,,#ERROR!,,,Yes,,b1d,,"38,72,157,170"
"Missing Data, Speculative Reading",Done,"Rebecca Koeser,Zoe LeBlanc",,https://doi.org/10.22148/001c.116926,,,,5/29/2024,🌐Shakespeare and Company,Active Legacy Project,Publication,,,,10.22148/001c.116926,,#ERROR!,,,Yes,,b1e,,"39,73,158,169"
Shakespeare and Company Project Data Sets,Done,"Rebecca Koeser,Joshua Kotin",,https://doi.org/10.22148/001c.32551,,,,2/9/2022,🌐Shakespeare and Company,Active Legacy Project,Publication,,,,10.22148/001c.32551,,#ERROR!,,,Yes,,b1f,,"40,74,155,162"
Shakespeare and Company Project,Done,"Rebecca Koeser,Joshua Kotin",,https://doi.org/10.21428/51bee781.13f8c789,,,,2/25/2021,🌐Shakespeare and Company,Active Legacy Project,Publication,,,,10.21428/51bee781.13f8c789,,#ERROR!,,,Yes,,b1g,,"41,174"
A Counterfactual Canon,Done,Joshua Kotin,,https://doi.org/10.22148/001c.116915,,,,5/29/2024,🌐Shakespeare and Company,Active Legacy Project,Publication,,,,10.22148/001c.116915,,#ERROR!,,,Yes,,b1w,,"42,75,159,171"
Documents to Data: the evolution of approaches to a library archive,Done,"Rebecca Koeser,Rebecca Munson,Joshua Kotin",,https://doi.org/10.5281/zenodo.3277319,,,,7/23/2019,🌐Shakespeare and Company,Active Legacy Project,Presentation / Poster,,,,10.5281/zenodo.3277319,Zenodo,#ERROR!,,,Yes,,b21,,"43,76,141,142"
" Shakespeare and Company Project Data Sets, Version 2.0",Done,"Rebecca Koeser,Joshua Kotin",Tier 1 Faculty Publication,https://doi.org/10.22148/jca.1114,,2/24/2025,12/19/2025,5/8/2026,🌐Shakespeare and Company,Active Legacy Project,Publication,,,,10.22148/jca.1114,,02-24 → 12-19,,,Yes,,b27,,"199,200"
mep-django,Released,Rebecca Koeser,,https://doi.org/10.5281/zenodo.3834178,,,,5/19/2020,🌐Shakespeare and Company,Active Legacy Project,Software Release,,,,10.5281/zenodo.3834178,Zenodo,#ERROR!,,Yes,Yes,,b0u,,"31,68,175,181"
Shakespeare and Company Website,Released,Rebecca Koeser,,https://shakespeareandco.princeton.edu/,,,,,🌐Shakespeare and Company,Active Legacy Project,Website,,,,https://shakespeareandco.princeton.edu/,,#ERROR!,,Yes,Yes,,b1a,,"10,99,106"
CDH Project Charter — bitKlavier 2017-18,Done,"Rebecca Koeser,Rebecca Munson,Dan Trueman",,https://doi.org/10.5281/zenodo.3359175,,,,9/6/2017,bitKlavier,Completed Projects,Grey Literature,,,,10.5281/zenodo.3359175,Zenodo,#ERROR!,,,Yes,,b1u,,"45,78,129,135"
Preparing the Digital Piano: Introducing bitKlavier,Done,Dan Trueman,,https://doi.org/10.1162/comj_a_00518,,,,6/20/2020,bitKlavier,Completed Projects,Publication,,,,10.1162/comj_a_00518,,#ERROR!,,,Yes,,b1x,,"46,79,163,172"
Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,Done,Dan Trueman,,https://doi.org/10.1162/comj_a_00519,,,,6/1/2019,bitKlavier,Completed Projects,Publication,,,,10.1162/comj_a_00519,,#ERROR!,,,Yes,,b20,,"47,80,165,173"
bitKlavier,Released,Dan Trueman,,https://doi.org/10.5281/zenodo.3667650,,,,2/14/2020,bitKlavier,Completed Projects,Software Release,,,,10.5281/zenodo.3667650,Zenodo,#ERROR!,,Yes,Yes,,b1o,,"44,77,177,185"
