output_id,output_name,project,type,status,assignee,link,doi_service,completed_date,availability,description,alt_id,source,zenodo_concept,zotero_key
o042,"""Built by CDH"" Long Term Software Agreement",Digital Humanities Processes and Practices,Grey Literature,Done,"Rebecca Koeser,Jean Bauer",https://doi.org/10.5281/zenodo.3359202,Zenodo,1/1/2018,,,,zenodo,,QLWW5Y4X
o047,Project Management 101,Digital Humanities Processes and Practices,Presentation / Poster,Done,Mary Naydan,https://doi.org/10.5281/zenodo.14907039,Zenodo,2/21/2025,,,,zenodo,14907038,K7YI4V8S
o055,Modeling Project Management through Charters,Digital Humanities Processes and Practices,Presentation / Poster,Done,"Jeri Wieringa,Mary Naydan",https://doi.org/10.5281/zenodo.14516760,Zenodo,6/20/2024,,,,zenodo,14516759,QWEKLWZR
o088,"Everything, All at Once, Yesterday: Creating Research Software with Humanities Faculty",Digital Humanities Processes and Practices,Presentation / Poster,Done,"Mary Naydan,Jeri Wieringa",https://doi.org/10.5281/zenodo.17315341,,10/8/2025,,,,zenodo,17315341,2XDD4JLY
o090,CDH Project Management Tools and Templates,Digital Humanities Processes and Practices,,Done,The Center for Digital Humanities at Princeton,https://doi.org/10.5281/zenodo.21891370,Zenodo,8/11/2026,,,,zenodo,21891369,JRPWK7FK
o063,"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project Dataset","Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project",Dataset,Done,"Rebecca Koeser,Nick Budak,Jean Bauer",https://doi.org/10.5281/zenodo.6909568,Zenodo,4/20/2023,,,,zenodo,,5Q62499J
o064,CDH Project Charter – Princeton Ethiopian Miracles of Mary 2019-20,"Princeton Ethiopian, Eritrean, and Egyptian Miracles of Mary (PEMM) Project",Grey Literature,Done,"Wendy Belcher,Meredith Martin,Rebecca Koeser,Rebecca Munson,Gissoo Doroudian",https://doi.org/10.5281/zenodo.3359177,Zenodo,8/2/2019,,,,zenodo,,44F2I24F
o029,HTR2HPC Project Charter,Princeton Open HTR Initiative,Grey Literature,Done,"Mary Naydan,Christine Roughan",https://zenodo.org/records/17344496,,7/12/2024,,,,zenodo,17344495,4BDEGTPM
o033,Integrating ATR Software with University HPC Infrastructure: balancing diverse compute needs,Princeton Open HTR Initiative,Publication,Done,"Rebecca Koeser,Christine Roughan",https://doi.org/10.5281/zenodo.17245594,,10/1/2025,,,,zenodo,,DS3LM9GB
o092,CDH Project Charter - Multilingual Semantic Embeddings (MuSE) 2024-2026,MuSE (Multilingual Semantic Embeddings),Grey Literature,Done,"Mary Naydan,Annie Liu,Jeri Wieringa,Rebecca Koeser,Laure Thompson,Anna Yu Wang,Jürgen Hackl",https://doi.org/10.5281/zenodo.19472367,Zenodo,4/8/2026,,,,zenodo,19472366,889IMTIU
o001,Citing Marx Project Charter,Remarx,Grey Literature,Done,"Mary Naydan,Rebecca Koeser",https://doi.org/10.5281/zenodo.14861082,Zenodo,2/10/2025,,,,zenodo,14861081,QI5ICTLI
o086,Community Code Review in the Digital Humanities,DH Tech,,Done,Rebecca Koeser,https://doi.org/10.5281/zenodo.17315400,,10/10/2025,,,,zenodo,,YHU4W7KA
o096,Surveying the Digital Humanities Research Software Engineering Landscape,DH Tech,Presentation / Poster,Done,"Julia Damerow,Rebecca Koeser,Cole Crawford",https://doi.org/10.5281/zenodo.15863899,Zenodo,7/11/2025,,,,zenodo,15863898,ECPAUHE3
o061,Data Beyond Vision,Data Beyond Vision,Publication,Done,"Rebecca Koeser,Gissoo Doroudian,Nick Budak",https://doi.org/10.5281/zenodo.3713670,Zenodo,10/1/2020,,,,zenodo,3713670,NLUDXIVU
o069,What If You Could Touch Data?,Data Beyond Vision,Publication,Done,Rebecca Koeser,https://medium.com/nightingale/what-if-you-could-touch-data-9c3a82a73407,,12/7/2020,,,,manual,,YZ28CD5M
o072,Data Beyond Vision,Data Beyond Vision,Presentation / Poster,Done,"Rebecca Koeser,Nick Budak,Xinyi Li,Gissoo Doroudian",https://doi.org/10.5281/zenodo.3261530,Zenodo,7/12/2019,,,,zenodo,,2PCCZEU3
o059,bitKlavier,bitKlavier,Software Release,Released,Dan Trueman,https://doi.org/10.5281/zenodo.3667650,Zenodo,2/14/2020,,,,zenodo,3667650,LXNL5969
